,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2723,Kepler-30,Transit,89.841,0.19,19h01m08.07s,+38d56m50.2s,5498.0,0.99,0.95
2724,Kepler-300,Transit,,,19h41m09.29s,+48d35m59.0s,5986.0,,0.9
2725,Kepler-300,Transit,,,19h41m09.29s,+48d35m59.0s,5986.0,,0.9
2726,Kepler-301,Transit,,,18h55m55.91s,+49d13m58.8s,5815.0,,0.9
2727,Kepler-301,Transit,,,18h55m55.91s,+49d13m58.8s,5815.0,,0.9
2728,Kepler-301,Transit,,,18h55m55.91s,+49d13m58.8s,5815.0,,0.9
2729,Kepler-302,Transit,,,19h37m16.08s,+43d37m45.6s,5740.0,,1.22
2730,Kepler-302,Transit,,,19h37m16.08s,+43d37m45.6s,5740.0,,1.22
2731,Kepler-303,Transit,,,18h52m32.51s,+43d39m25.4s,3944.0,,0.48
2732,Kepler-303,Transit,,,18h52m32.51s,+43d39m25.4s,3944.0,,0.48
2733,Kepler-304,Transit,,,19h37m46.02s,+40d33m27.3s,4731.0,,0.69
2734,Kepler-304,Transit,,,19h37m46.02s,+40d33m27.3s,4731.0,,0.69
2735,Kepler-304,Transit,,,19h37m46.02s,+40d33m27.3s,4731.0,,0.69
2736,Kepler-304,Transit,,,19h37m46.02s,+40d33m27.3s,4731.0,,0.69
2737,Kepler-305,Transit,,,19h56m53.83s,+40d20m35.5s,5100.0,,0.79
2738,Kepler-305,Transit,,,19h56m53.83s,+40d20m35.5s,5100.0,,0.79
2739,Kepler-305,Transit,,,19h56m53.83s,+40d20m35.5s,5100.0,,0.79
2740,Kepler-305,Transit,,,19h56m53.83s,+40d20m35.5s,5100.0,,0.79
2741,Kepler-306,Transit,,,19h14m09.28s,+40d36m58.1s,4954.0,,0.72
2742,Kepler-306,Transit,,,19h14m09.28s,+40d36m58.1s,4954.0,,0.72
2743,Kepler-306,Transit,,,19h14m09.28s,+40d36m58.1s,4954.0,,0.72
2744,Kepler-306,Transit,,,19h14m09.28s,+40d36m58.1s,4954.0,,0.72
2745,Kepler-307,Transit,,2.62,19h51m10.83s,+40d25m03.7s,5367.0,0.91,0.81
2746,Kepler-307,Transit,,1.74,19h51m10.83s,+40d25m03.7s,5367.0,0.91,0.81
2747,Kepler-308,Transit,,,19h43m08.44s,+40d26m22.4s,5895.0,,0.94
2748,Kepler-308,Transit,,,19h43m08.44s,+40d26m22.4s,5895.0,,0.94
2749,Kepler-309,Transit,,,19h50m02.36s,+46d57m40.6s,4713.0,,0.72
2750,Kepler-309,Transit,,,19h50m02.36s,+46d57m40.6s,4713.0,,0.72
2751,Kepler-31,Transit,,,19h36m05.52s,+45d51m11.1s,6340.0,1.21,1.22
2752,Kepler-31,Transit,,,19h36m05.52s,+45d51m11.1s,6340.0,1.21,1.22
2753,Kepler-31,Transit,,,19h36m05.52s,+45d51m11.1s,6340.0,1.21,1.22
